feature,importance
fft_spectral_flatness,0.0695959559461881
stft_temporal_flux,0.0116882918579436
signal_std,0.0089153365054722
stft_mean_magnitude,0.0079220467463111
stft_max_magnitude,0.0062092262272119
fft_dominant_amplitude,0.0037404886776183
fft_spectral_centroid,0.0030922409464566
fft_total_power,0.00210796017103
signal_abs_mean,0.0020070358512385
signal_rms,0.001741682090262
stft_std_magnitude,0.0015931599593495
stft_energy,0.0014171200130873
signal_mean,0.0014168464967739
signal_zero_cross_rate,0.0012011136695963
phase,0.0011005140739309
signal_min,0.000751419738708
fft_dominant_frequency,0.0004952513588749
signal_max,0.0003437443119438
signal_crest_factor,0.0002951037953724
fft_spectral_bandwidth,0.0001494390084151
signal_peak_to_peak,1.83752952042408e-05
