feature,importance
fft_spectral_flatness,0.06959595594618811
stft_temporal_flux,0.011688291857943608
signal_std,0.00891533650547223
stft_mean_magnitude,0.007922046746311126
stft_max_magnitude,0.006209226227211987
fft_dominant_amplitude,0.003740488677618365
fft_spectral_centroid,0.003092240946456653
fft_total_power,0.002107960171030089
signal_abs_mean,0.002007035851238554
signal_rms,0.0017416820902620889
stft_std_magnitude,0.0015931599593495183
stft_energy,0.0014171200130873947
signal_mean,0.0014168464967739744
signal_zero_cross_rate,0.0012011136695963902
phase,0.001100514073930975
signal_min,0.0007514197387080242
fft_dominant_frequency,0.000495251358874903
signal_max,0.00034374431194386326
signal_crest_factor,0.000295103795372406
fft_spectral_bandwidth,0.00014943900841513067
signal_peak_to_peak,1.8375295204240802e-05
