feature,importance
fft_spectral_flatness,0.079037438549034
stft_temporal_flux,0.0281097625243087
signal_std,0.0184668285974715
stft_mean_magnitude,0.0183871168858987
signal_mean,0.0077749910990007
fft_dominant_amplitude,0.0069115237322482
fft_spectral_centroid,0.0065715925120694
stft_max_magnitude,0.0057503576245264
fft_total_power,0.0045354329190173
signal_abs_mean,0.0042704234591334
fft_dominant_frequency,0.0041911841293827
signal_rms,0.0041805523875455
stft_std_magnitude,0.0037527191742123
stft_energy,0.0033205618078675
signal_id,0.0026577490861249
signal_zero_cross_rate,0.0007066315835114
fft_spectral_bandwidth,0.0006394475019319
phase,0.0002025107567791
signal_max,7.462468251190094e-05
signal_min,1.0823572245114724e-05
signal_crest_factor,8.409104389704932e-06
signal_peak_to_peak,8.239415228949875e-06
