feature,importance
fft_spectral_flatness,0.07903743854903408
stft_temporal_flux,0.028109762524308753
signal_std,0.0184668285974715
stft_mean_magnitude,0.01838711688589876
signal_mean,0.007774991099000749
fft_dominant_amplitude,0.0069115237322482535
fft_spectral_centroid,0.00657159251206943
stft_max_magnitude,0.005750357624526482
fft_total_power,0.00453543291901731
signal_abs_mean,0.004270423459133472
fft_dominant_frequency,0.004191184129382751
signal_rms,0.004180552387545505
stft_std_magnitude,0.0037527191742123007
stft_energy,0.0033205618078675516
signal_id,0.0026577490861249414
signal_zero_cross_rate,0.0007066315835114559
fft_spectral_bandwidth,0.0006394475019319521
phase,0.00020251075677910405
signal_max,7.462468251190094e-05
signal_min,1.0823572245114724e-05
signal_crest_factor,8.409104389704932e-06
signal_peak_to_peak,8.239415228949875e-06
