time_index,freq_bin,power_dB,PU_Presence,PU_Signal_Strength,PU_bandwidth,PU_burst_duration,PU_drift_type,spectral_entropy,Frequency_Band,SU1_cov_flat,SU2_cov_flat,SU3_cov_flat,SU1_temporal_cov,SU2_temporal_cov,SU3_temporal_cov
1,18,-55.0919143,0,-55.0919143,12,Long,Frequency drift,1.066,1800,"[ 3.85203678e-06  3.37909169e-07  3.37909169e-07  3.85203678e-06
  0.00000000e+00 -9.20338281e-08  9.20338281e-08  0.00000000e+00]","[ 4.59439646e-06  4.03030599e-07  4.03030599e-07  4.59439646e-06
  0.00000000e+00 -1.09770472e-07  1.09770472e-07  0.00000000e+00]","[ 4.40644859e-06  3.86543396e-07  3.86543396e-07  4.40644859e-06
  0.00000000e+00 -1.05279974e-07  1.05279974e-07  0.00000000e+00]","[array([ 3.85203678e-06,  3.37909169e-07,  3.37909169e-07,  3.85203678e-06,
        0.00000000e+00, -9.20338281e-08,  9.20338281e-08,  0.00000000e+00]), array([ 3.85203678e-06,  3.37909169e-07,  3.37909169e-07,  3.85203678e-06,
        0.00000000e+00, -9.20338281e-08,  9.20338281e-08,  0.00000000e+00]), array([ 3.85203678e-06,  3.37909169e-07,  3.37909169e-07,  3.85203678e-06,
        0.00000000e+00, -9.20338281e-08,  9.20338281e-08,  0.00000000e+00]), array([ 3.85203678e-06,  3.37909169e-07,  3.37909169e-07,  3.85203678e-06,
        0.00000000e+00, -9.20338281e-08,  9.20338281e-08,  0.00000000e+00])]","[array([ 4.59439646e-06,  4.03030599e-07,  4.03030599e-07,  4.59439646e-06,
        0.00000000e+00, -1.09770472e-07,  1.09770472e-07,  0.00000000e+00]), array([ 4.59439646e-06,  4.03030599e-07,  4.03030599e-07,  4.59439646e-06,
        0.00000000e+00, -1.09770472e-07,  1.09770472e-07,  0.00000000e+00]), array([ 4.59439646e-06,  4.03030599e-07,  4.03030599e-07,  4.59439646e-06,
        0.00000000e+00, -1.09770472e-07,  1.09770472e-07,  0.00000000e+00]), array([ 4.59439646e-06,  4.03030599e-07,  4.03030599e-07,  4.59439646e-06,
        0.00000000e+00, -1.09770472e-07,  1.09770472e-07,  0.00000000e+00])]","[array([ 4.40644859e-06,  3.86543396e-07,  3.86543396e-07,  4.40644859e-06,
        0.00000000e+00, -1.05279974e-07,  1.05279974e-07,  0.00000000e+00]), array([ 4.40644859e-06,  3.86543396e-07,  3.86543396e-07,  4.40644859e-06,
        0.00000000e+00, -1.05279974e-07,  1.05279974e-07,  0.00000000e+00]), array([ 4.40644859e-06,  3.86543396e-07,  3.86543396e-07,  4.40644859e-06,
        0.00000000e+00, -1.05279974e-07,  1.05279974e-07,  0.00000000e+00]), array([ 4.40644859e-06,  3.86543396e-07,  3.86543396e-07,  4.40644859e-06,
        0.00000000e+00, -1.05279974e-07,  1.05279974e-07,  0.00000000e+00])]"
2,50,-63.19518168,1,-63.19518168,4,Medium,Frequency drift,1.042,5000,"[ 5.92232132e-07  5.19519099e-08  5.19519099e-08  5.92232132e-07
  0.00000000e+00 -1.41497585e-08  1.41497585e-08  0.00000000e+00]","[ 7.47696187e-07  6.55895599e-08  6.55895599e-08  7.47696187e-07
  0.00000000e+00 -1.78641447e-08  1.78641447e-08  0.00000000e+00]","[ 7.50317434e-07  6.58195015e-08  6.58195015e-08  7.50317434e-07
  0.00000000e+00 -1.79267722e-08  1.79267722e-08  0.00000000e+00]","[array([ 5.92232132e-07,  5.19519099e-08,  5.19519099e-08,  5.92232132e-07,
        0.00000000e+00, -1.41497585e-08,  1.41497585e-08,  0.00000000e+00]), array([ 5.92232132e-07,  5.19519099e-08,  5.19519099e-08,  5.92232132e-07,
        0.00000000e+00, -1.41497585e-08,  1.41497585e-08,  0.00000000e+00]), array([ 5.92232132e-07,  5.19519099e-08,  5.19519099e-08,  5.92232132e-07,
        0.00000000e+00, -1.41497585e-08,  1.41497585e-08,  0.00000000e+00]), array([ 5.92232132e-07,  5.19519099e-08,  5.19519099e-08,  5.92232132e-07,
        0.00000000e+00, -1.41497585e-08,  1.41497585e-08,  0.00000000e+00])]","[array([ 7.47696187e-07,  6.55895599e-08,  6.55895599e-08,  7.47696187e-07,
        0.00000000e+00, -1.78641447e-08,  1.78641447e-08,  0.00000000e+00]), array([ 7.47696187e-07,  6.55895599e-08,  6.55895599e-08,  7.47696187e-07,
        0.00000000e+00, -1.78641447e-08,  1.78641447e-08,  0.00000000e+00]), array([ 7.47696187e-07,  6.55895599e-08,  6.55895599e-08,  7.47696187e-07,
        0.00000000e+00, -1.78641447e-08,  1.78641447e-08,  0.00000000e+00]), array([ 7.47696187e-07,  6.55895599e-08,  6.55895599e-08,  7.47696187e-07,
        0.00000000e+00, -1.78641447e-08,  1.78641447e-08,  0.00000000e+00])]","[array([ 7.50317434e-07,  6.58195015e-08,  6.58195015e-08,  7.50317434e-07,
        0.00000000e+00, -1.79267722e-08,  1.79267722e-08,  0.00000000e+00]), array([ 7.50317434e-07,  6.58195015e-08,  6.58195015e-08,  7.50317434e-07,
        0.00000000e+00, -1.79267722e-08,  1.79267722e-08,  0.00000000e+00]), array([ 7.50317434e-07,  6.58195015e-08,  6.58195015e-08,  7.50317434e-07,
        0.00000000e+00, -1.79267722e-08,  1.79267722e-08,  0.00000000e+00]), array([ 7.50317434e-07,  6.58195015e-08,  6.58195015e-08,  7.50317434e-07,
        0.00000000e+00, -1.79267722e-08,  1.79267722e-08,  0.00000000e+00])]"
3,50,-74.52361919,0,-74.52361919,11,Short,Bandwidth switch,1.037,5000,"[ 5.75073064e-08  5.04466785e-09  5.04466785e-09  5.75073064e-08
  0.00000000e+00 -1.37397898e-09  1.37397898e-09  0.00000000e+00]","[ 4.36847087e-08  3.83211907e-09  3.83211907e-09  4.36847087e-08
  0.00000000e+00 -1.04372601e-09  1.04372601e-09  0.00000000e+00]","[ 5.42637287e-08  4.76013406e-09  4.76013406e-09  5.42637287e-08
  0.00000000e+00 -1.29648261e-09  1.29648261e-09  0.00000000e+00]","[array([ 5.75073064e-08,  5.04466785e-09,  5.04466785e-09,  5.75073064e-08,
        0.00000000e+00, -1.37397898e-09,  1.37397898e-09,  0.00000000e+00]), array([ 5.75073064e-08,  5.04466785e-09,  5.04466785e-09,  5.75073064e-08,
        0.00000000e+00, -1.37397898e-09,  1.37397898e-09,  0.00000000e+00]), array([ 5.75073064e-08,  5.04466785e-09,  5.04466785e-09,  5.75073064e-08,
        0.00000000e+00, -1.37397898e-09,  1.37397898e-09,  0.00000000e+00]), array([ 5.75073064e-08,  5.04466785e-09,  5.04466785e-09,  5.75073064e-08,
        0.00000000e+00, -1.37397898e-09,  1.37397898e-09,  0.00000000e+00])]","[array([ 4.36847087e-08,  3.83211907e-09,  3.83211907e-09,  4.36847087e-08,
        0.00000000e+00, -1.04372601e-09,  1.04372601e-09,  0.00000000e+00]), array([ 4.36847087e-08,  3.83211907e-09,  3.83211907e-09,  4.36847087e-08,
        0.00000000e+00, -1.04372601e-09,  1.04372601e-09,  0.00000000e+00]), array([ 4.36847087e-08,  3.83211907e-09,  3.83211907e-09,  4.36847087e-08,
        0.00000000e+00, -1.04372601e-09,  1.04372601e-09,  0.00000000e+00]), array([ 4.36847087e-08,  3.83211907e-09,  3.83211907e-09,  4.36847087e-08,
        0.00000000e+00, -1.04372601e-09,  1.04372601e-09,  0.00000000e+00])]","[array([ 5.42637287e-08,  4.76013406e-09,  4.76013406e-09,  5.42637287e-08,
        0.00000000e+00, -1.29648261e-09,  1.29648261e-09,  0.00000000e+00]), array([ 5.42637287e-08,  4.76013406e-09,  4.76013406e-09,  5.42637287e-08,
        0.00000000e+00, -1.29648261e-09,  1.29648261e-09,  0.00000000e+00]), array([ 5.42637287e-08,  4.76013406e-09,  4.76013406e-09,  5.42637287e-08,
        0.00000000e+00, -1.29648261e-09,  1.29648261e-09,  0.00000000e+00]), array([ 5.42637287e-08,  4.76013406e-09,  4.76013406e-09,  5.42637287e-08,
        0.00000000e+00, -1.29648261e-09,  1.29648261e-09,  0.00000000e+00])]"
4,18,-49.31024901,0,-49.31024901,11,Long,Frequency drift,1.032,1800,"[ 1.45039588e-05  1.27231928e-06  1.27231928e-06  1.45039588e-05
  0.00000000e+00 -3.46532218e-07  3.46532218e-07  0.00000000e+00]","[ 1.70540325e-05  1.49601737e-06  1.49601737e-06  1.70540325e-05
  0.00000000e+00 -4.07459219e-07  4.07459219e-07  0.00000000e+00]","[ 1.38871139e-05  1.21820828e-06  1.21820828e-06  1.38871139e-05
  0.00000000e+00 -3.31794405e-07  3.31794405e-07  0.00000000e+00]","[array([ 1.45039588e-05,  1.27231928e-06,  1.27231928e-06,  1.45039588e-05,
        0.00000000e+00, -3.46532218e-07,  3.46532218e-07,  0.00000000e+00]), array([ 1.45039588e-05,  1.27231928e-06,  1.27231928e-06,  1.45039588e-05,
        0.00000000e+00, -3.46532218e-07,  3.46532218e-07,  0.00000000e+00]), array([ 1.45039588e-05,  1.27231928e-06,  1.27231928e-06,  1.45039588e-05,
        0.00000000e+00, -3.46532218e-07,  3.46532218e-07,  0.00000000e+00]), array([ 1.45039588e-05,  1.27231928e-06,  1.27231928e-06,  1.45039588e-05,
        0.00000000e+00, -3.46532218e-07,  3.46532218e-07,  0.00000000e+00])]","[array([ 1.70540325e-05,  1.49601737e-06,  1.49601737e-06,  1.70540325e-05,
        0.00000000e+00, -4.07459219e-07,  4.07459219e-07,  0.00000000e+00]), array([ 1.70540325e-05,  1.49601737e-06,  1.49601737e-06,  1.70540325e-05,
        0.00000000e+00, -4.07459219e-07,  4.07459219e-07,  0.00000000e+00]), array([ 1.70540325e-05,  1.49601737e-06,  1.49601737e-06,  1.70540325e-05,
        0.00000000e+00, -4.07459219e-07,  4.07459219e-07,  0.00000000e+00]), array([ 1.70540325e-05,  1.49601737e-06,  1.49601737e-06,  1.70540325e-05,
        0.00000000e+00, -4.07459219e-07,  4.07459219e-07,  0.00000000e+00])]","[array([ 1.38871139e-05,  1.21820828e-06,  1.21820828e-06,  1.38871139e-05,
        0.00000000e+00, -3.31794405e-07,  3.31794405e-07,  0.00000000e+00]), array([ 1.38871139e-05,  1.21820828e-06,  1.21820828e-06,  1.38871139e-05,
        0.00000000e+00, -3.31794405e-07,  3.31794405e-07,  0.00000000e+00]), array([ 1.38871139e-05,  1.21820828e-06,  1.21820828e-06,  1.38871139e-05,
        0.00000000e+00, -3.31794405e-07,  3.31794405e-07,  0.00000000e+00]), array([ 1.38871139e-05,  1.21820828e-06,  1.21820828e-06,  1.38871139e-05,
        0.00000000e+00, -3.31794405e-07,  3.31794405e-07,  0.00000000e+00])]"
5,24,-55.76344137,0,-55.76344137,7,Long,Frequency drift,1.044,2400,"[ 3.31535246e-06  2.90830035e-07  2.90830035e-07  3.31535246e-06
  0.00000000e+00 -7.92112318e-08  7.92112318e-08  0.00000000e+00]","[ 3.77477016e-06  3.31131170e-07  3.31131170e-07  3.77477016e-06
  0.00000000e+00 -9.01877548e-08  9.01877548e-08  0.00000000e+00]","[ 3.13591670e-06  2.75089535e-07  2.75089535e-07  3.13591670e-06
  0.00000000e+00 -7.49241079e-08  7.49241079e-08  0.00000000e+00]","[array([ 3.31535246e-06,  2.90830035e-07,  2.90830035e-07,  3.31535246e-06,
        0.00000000e+00, -7.92112318e-08,  7.92112318e-08,  0.00000000e+00]), array([ 3.31535246e-06,  2.90830035e-07,  2.90830035e-07,  3.31535246e-06,
        0.00000000e+00, -7.92112318e-08,  7.92112318e-08,  0.00000000e+00]), array([ 3.31535246e-06,  2.90830035e-07,  2.90830035e-07,  3.31535246e-06,
        0.00000000e+00, -7.92112318e-08,  7.92112318e-08,  0.00000000e+00]), array([ 3.31535246e-06,  2.90830035e-07,  2.90830035e-07,  3.31535246e-06,
        0.00000000e+00, -7.92112318e-08,  7.92112318e-08,  0.00000000e+00])]","[array([ 3.77477016e-06,  3.31131170e-07,  3.31131170e-07,  3.77477016e-06,
        0.00000000e+00, -9.01877548e-08,  9.01877548e-08,  0.00000000e+00]), array([ 3.77477016e-06,  3.31131170e-07,  3.31131170e-07,  3.77477016e-06,
        0.00000000e+00, -9.01877548e-08,  9.01877548e-08,  0.00000000e+00]), array([ 3.77477016e-06,  3.31131170e-07,  3.31131170e-07,  3.77477016e-06,
        0.00000000e+00, -9.01877548e-08,  9.01877548e-08,  0.00000000e+00]), array([ 3.77477016e-06,  3.31131170e-07,  3.31131170e-07,  3.77477016e-06,
        0.00000000e+00, -9.01877548e-08,  9.01877548e-08,  0.00000000e+00])]","[array([ 3.13591670e-06,  2.75089535e-07,  2.75089535e-07,  3.13591670e-06,
        0.00000000e+00, -7.49241079e-08,  7.49241079e-08,  0.00000000e+00]), array([ 3.13591670e-06,  2.75089535e-07,  2.75089535e-07,  3.13591670e-06,
        0.00000000e+00, -7.49241079e-08,  7.49241079e-08,  0.00000000e+00]), array([ 3.13591670e-06,  2.75089535e-07,  2.75089535e-07,  3.13591670e-06,
        0.00000000e+00, -7.49241079e-08,  7.49241079e-08,  0.00000000e+00]), array([ 3.13591670e-06,  2.75089535e-07,  2.75089535e-07,  3.13591670e-06,
        0.00000000e+00, -7.49241079e-08,  7.49241079e-08,  0.00000000e+00])]"
6,24,-81.86915303,1,-81.86915303,13,Short,Frequency drift,1.047,2400,"[ 9.99591801e-09  8.76863991e-10  8.76863991e-10  9.99591801e-09
  0.00000000e+00 -2.38824978e-10  2.38824978e-10  0.00000000e+00]","[ 1.02941218e-08  9.03023083e-10  9.03023083e-10  1.02941218e-08
  0.00000000e+00 -2.45949737e-10  2.45949737e-10  0.00000000e+00]","[ 8.11381198e-09  7.11761497e-10  7.11761497e-10  8.11381198e-09
  0.00000000e+00 -1.93857230e-10  1.93857230e-10  0.00000000e+00]","[array([ 9.99591801e-09,  8.76863991e-10,  8.76863991e-10,  9.99591801e-09,
        0.00000000e+00, -2.38824978e-10,  2.38824978e-10,  0.00000000e+00]), array([ 9.99591801e-09,  8.76863991e-10,  8.76863991e-10,  9.99591801e-09,
        0.00000000e+00, -2.38824978e-10,  2.38824978e-10,  0.00000000e+00]), array([ 9.99591801e-09,  8.76863991e-10,  8.76863991e-10,  9.99591801e-09,
        0.00000000e+00, -2.38824978e-10,  2.38824978e-10,  0.00000000e+00]), array([ 9.99591801e-09,  8.76863991e-10,  8.76863991e-10,  9.99591801e-09,
        0.00000000e+00, -2.38824978e-10,  2.38824978e-10,  0.00000000e+00])]","[array([ 1.02941218e-08,  9.03023083e-10,  9.03023083e-10,  1.02941218e-08,
        0.00000000e+00, -2.45949737e-10,  2.45949737e-10,  0.00000000e+00]), array([ 1.02941218e-08,  9.03023083e-10,  9.03023083e-10,  1.02941218e-08,
        0.00000000e+00, -2.45949737e-10,  2.45949737e-10,  0.00000000e+00]), array([ 1.02941218e-08,  9.03023083e-10,  9.03023083e-10,  1.02941218e-08,
        0.00000000e+00, -2.45949737e-10,  2.45949737e-10,  0.00000000e+00]), array([ 1.02941218e-08,  9.03023083e-10,  9.03023083e-10,  1.02941218e-08,
        0.00000000e+00, -2.45949737e-10,  2.45949737e-10,  0.00000000e+00])]","[array([ 8.11381198e-09,  7.11761497e-10,  7.11761497e-10,  8.11381198e-09,
        0.00000000e+00, -1.93857230e-10,  1.93857230e-10,  0.00000000e+00]), array([ 8.11381198e-09,  7.11761497e-10,  7.11761497e-10,  8.11381198e-09,
        0.00000000e+00, -1.93857230e-10,  1.93857230e-10,  0.00000000e+00]), array([ 8.11381198e-09,  7.11761497e-10,  7.11761497e-10,  8.11381198e-09,
        0.00000000e+00, -1.93857230e-10,  1.93857230e-10,  0.00000000e+00]), array([ 8.11381198e-09,  7.11761497e-10,  7.11761497e-10,  8.11381198e-09,
        0.00000000e+00, -1.93857230e-10,  1.93857230e-10,  0.00000000e+00])]"
7,50,-44.45364078,0,-44.45364078,3,Long,Frequency drift,1.053,5000,"[ 4.84588662e-05  4.25091870e-06  4.25091870e-06  4.84588662e-05
  0.00000000e+00 -1.15779138e-06  1.15779138e-06  0.00000000e+00]","[ 5.84375999e-05  5.12627525e-06  5.12627525e-06  5.84375999e-05
  0.00000000e+00 -1.39620578e-06  1.39620578e-06  0.00000000e+00]","[ 4.66283787e-05  4.09034430e-06  4.09034430e-06  4.66283787e-05
  0.00000000e+00 -1.11405691e-06  1.11405691e-06  0.00000000e+00]","[array([ 4.84588662e-05,  4.25091870e-06,  4.25091870e-06,  4.84588662e-05,
        0.00000000e+00, -1.15779138e-06,  1.15779138e-06,  0.00000000e+00]), array([ 4.84588662e-05,  4.25091870e-06,  4.25091870e-06,  4.84588662e-05,
        0.00000000e+00, -1.15779138e-06,  1.15779138e-06,  0.00000000e+00]), array([ 4.84588662e-05,  4.25091870e-06,  4.25091870e-06,  4.84588662e-05,
        0.00000000e+00, -1.15779138e-06,  1.15779138e-06,  0.00000000e+00]), array([ 4.84588662e-05,  4.25091870e-06,  4.25091870e-06,  4.84588662e-05,
        0.00000000e+00, -1.15779138e-06,  1.15779138e-06,  0.00000000e+00])]","[array([ 5.84375999e-05,  5.12627525e-06,  5.12627525e-06,  5.84375999e-05,
        0.00000000e+00, -1.39620578e-06,  1.39620578e-06,  0.00000000e+00]), array([ 5.84375999e-05,  5.12627525e-06,  5.12627525e-06,  5.84375999e-05,
        0.00000000e+00, -1.39620578e-06,  1.39620578e-06,  0.00000000e+00]), array([ 5.84375999e-05,  5.12627525e-06,  5.12627525e-06,  5.84375999e-05,
        0.00000000e+00, -1.39620578e-06,  1.39620578e-06,  0.00000000e+00]), array([ 5.84375999e-05,  5.12627525e-06,  5.12627525e-06,  5.84375999e-05,
        0.00000000e+00, -1.39620578e-06,  1.39620578e-06,  0.00000000e+00])]","[array([ 4.66283787e-05,  4.09034430e-06,  4.09034430e-06,  4.66283787e-05,
        0.00000000e+00, -1.11405691e-06,  1.11405691e-06,  0.00000000e+00]), array([ 4.66283787e-05,  4.09034430e-06,  4.09034430e-06,  4.66283787e-05,
        0.00000000e+00, -1.11405691e-06,  1.11405691e-06,  0.00000000e+00]), array([ 4.66283787e-05,  4.09034430e-06,  4.09034430e-06,  4.66283787e-05,
        0.00000000e+00, -1.11405691e-06,  1.11405691e-06,  0.00000000e+00]), array([ 4.66283787e-05,  4.09034430e-06,  4.09034430e-06,  4.66283787e-05,
        0.00000000e+00, -1.11405691e-06,  1.11405691e-06,  0.00000000e+00])]"
8,24,-48.87313785,0,-48.87313785,9,Long,Bandwidth switch,0.95,2400,"[ 2.00655468e-05  1.76019405e-06  1.76019405e-06  2.00655468e-05
  0.00000000e+00 -4.79411072e-07  4.79411072e-07  0.00000000e+00]","[ 1.43739221e-05  1.26091217e-06  1.26091217e-06  1.43739221e-05
  0.00000000e+00 -3.43425348e-07  3.43425348e-07  0.00000000e+00]","[ 1.72058861e-05  1.50933831e-06  1.50933831e-06  1.72058861e-05
  0.00000000e+00 -4.11087343e-07  4.11087343e-07  0.00000000e+00]","[array([ 2.00655468e-05,  1.76019405e-06,  1.76019405e-06,  2.00655468e-05,
        0.00000000e+00, -4.79411072e-07,  4.79411072e-07,  0.00000000e+00]), array([ 2.00655468e-05,  1.76019405e-06,  1.76019405e-06,  2.00655468e-05,
        0.00000000e+00, -4.79411072e-07,  4.79411072e-07,  0.00000000e+00]), array([ 2.00655468e-05,  1.76019405e-06,  1.76019405e-06,  2.00655468e-05,
        0.00000000e+00, -4.79411072e-07,  4.79411072e-07,  0.00000000e+00]), array([ 2.00655468e-05,  1.76019405e-06,  1.76019405e-06,  2.00655468e-05,
        0.00000000e+00, -4.79411072e-07,  4.79411072e-07,  0.00000000e+00])]","[array([ 1.43739221e-05,  1.26091217e-06,  1.26091217e-06,  1.43739221e-05,
        0.00000000e+00, -3.43425348e-07,  3.43425348e-07,  0.00000000e+00]), array([ 1.43739221e-05,  1.26091217e-06,  1.26091217e-06,  1.43739221e-05,
        0.00000000e+00, -3.43425348e-07,  3.43425348e-07,  0.00000000e+00]), array([ 1.43739221e-05,  1.26091217e-06,  1.26091217e-06,  1.43739221e-05,
        0.00000000e+00, -3.43425348e-07,  3.43425348e-07,  0.00000000e+00]), array([ 1.43739221e-05,  1.26091217e-06,  1.26091217e-06,  1.43739221e-05,
        0.00000000e+00, -3.43425348e-07,  3.43425348e-07,  0.00000000e+00])]","[array([ 1.72058861e-05,  1.50933831e-06,  1.50933831e-06,  1.72058861e-05,
        0.00000000e+00, -4.11087343e-07,  4.11087343e-07,  0.00000000e+00]), array([ 1.72058861e-05,  1.50933831e-06,  1.50933831e-06,  1.72058861e-05,
        0.00000000e+00, -4.11087343e-07,  4.11087343e-07,  0.00000000e+00]), array([ 1.72058861e-05,  1.50933831e-06,  1.50933831e-06,  1.72058861e-05,
        0.00000000e+00, -4.11087343e-07,  4.11087343e-07,  0.00000000e+00]), array([ 1.72058861e-05,  1.50933831e-06,  1.50933831e-06,  1.72058861e-05,
        0.00000000e+00, -4.11087343e-07,  4.11087343e-07,  0.00000000e+00])]"
9,18,-42.51000434,0,-42.51000434,12,Long,Bandwidth switch,0.991,1800,"[ 6.37958196e-05  5.59631011e-06  5.59631011e-06  6.37958196e-05
  0.00000000e+00 -1.52422571e-06  1.52422571e-06  0.00000000e+00]","[ 8.33017611e-05  7.30741436e-06  7.30741436e-06  8.33017611e-05
  0.00000000e+00 -1.99026656e-06  1.99026656e-06  0.00000000e+00]","[ 8.34959353e-05  7.32444774e-06  7.32444774e-06  8.34959353e-05
  0.00000000e+00 -1.99490581e-06  1.99490581e-06  0.00000000e+00]","[array([ 6.37958196e-05,  5.59631011e-06,  5.59631011e-06,  6.37958196e-05,
        0.00000000e+00, -1.52422571e-06,  1.52422571e-06,  0.00000000e+00]), array([ 6.37958196e-05,  5.59631011e-06,  5.59631011e-06,  6.37958196e-05,
        0.00000000e+00, -1.52422571e-06,  1.52422571e-06,  0.00000000e+00]), array([ 6.37958196e-05,  5.59631011e-06,  5.59631011e-06,  6.37958196e-05,
        0.00000000e+00, -1.52422571e-06,  1.52422571e-06,  0.00000000e+00]), array([ 6.37958196e-05,  5.59631011e-06,  5.59631011e-06,  6.37958196e-05,
        0.00000000e+00, -1.52422571e-06,  1.52422571e-06,  0.00000000e+00])]","[array([ 8.33017611e-05,  7.30741436e-06,  7.30741436e-06,  8.33017611e-05,
        0.00000000e+00, -1.99026656e-06,  1.99026656e-06,  0.00000000e+00]), array([ 8.33017611e-05,  7.30741436e-06,  7.30741436e-06,  8.33017611e-05,
        0.00000000e+00, -1.99026656e-06,  1.99026656e-06,  0.00000000e+00]), array([ 8.33017611e-05,  7.30741436e-06,  7.30741436e-06,  8.33017611e-05,
        0.00000000e+00, -1.99026656e-06,  1.99026656e-06,  0.00000000e+00]), array([ 8.33017611e-05,  7.30741436e-06,  7.30741436e-06,  8.33017611e-05,
        0.00000000e+00, -1.99026656e-06,  1.99026656e-06,  0.00000000e+00])]","[array([ 8.34959353e-05,  7.32444774e-06,  7.32444774e-06,  8.34959353e-05,
        0.00000000e+00, -1.99490581e-06,  1.99490581e-06,  0.00000000e+00]), array([ 8.34959353e-05,  7.32444774e-06,  7.32444774e-06,  8.34959353e-05,
        0.00000000e+00, -1.99490581e-06,  1.99490581e-06,  0.00000000e+00]), array([ 8.34959353e-05,  7.32444774e-06,  7.32444774e-06,  8.34959353e-05,
        0.00000000e+00, -1.99490581e-06,  1.99490581e-06,  0.00000000e+00]), array([ 8.34959353e-05,  7.32444774e-06,  7.32444774e-06,  8.34959353e-05,
        0.00000000e+00, -1.99490581e-06,  1.99490581e-06,  0.00000000e+00])]"
10,24,-53.71402458,1,-53.71402458,12,Long,Frequency drift,0.977,2400,"[ 5.83946840e-06  5.12251058e-07  5.12251058e-07  5.83946840e-06
  0.00000000e+00 -1.39518043e-07  1.39518043e-07  0.00000000e+00]","[ 4.80430453e-06  4.21444197e-07  4.21444197e-07  4.80430453e-06
  0.00000000e+00 -1.14785648e-07  1.14785648e-07  0.00000000e+00]","[ 4.81525902e-06  4.22405150e-07  4.22405150e-07  4.81525902e-06
  0.00000000e+00 -1.15047375e-07  1.15047375e-07  0.00000000e+00]","[array([ 5.83946840e-06,  5.12251058e-07,  5.12251058e-07,  5.83946840e-06,
        0.00000000e+00, -1.39518043e-07,  1.39518043e-07,  0.00000000e+00]), array([ 5.83946840e-06,  5.12251058e-07,  5.12251058e-07,  5.83946840e-06,
        0.00000000e+00, -1.39518043e-07,  1.39518043e-07,  0.00000000e+00]), array([ 5.83946840e-06,  5.12251058e-07,  5.12251058e-07,  5.83946840e-06,
        0.00000000e+00, -1.39518043e-07,  1.39518043e-07,  0.00000000e+00]), array([ 5.83946840e-06,  5.12251058e-07,  5.12251058e-07,  5.83946840e-06,
        0.00000000e+00, -1.39518043e-07,  1.39518043e-07,  0.00000000e+00])]","[array([ 4.80430453e-06,  4.21444197e-07,  4.21444197e-07,  4.80430453e-06,
        0.00000000e+00, -1.14785648e-07,  1.14785648e-07,  0.00000000e+00]), array([ 4.80430453e-06,  4.21444197e-07,  4.21444197e-07,  4.80430453e-06,
        0.00000000e+00, -1.14785648e-07,  1.14785648e-07,  0.00000000e+00]), array([ 4.80430453e-06,  4.21444197e-07,  4.21444197e-07,  4.80430453e-06,
        0.00000000e+00, -1.14785648e-07,  1.14785648e-07,  0.00000000e+00]), array([ 4.80430453e-06,  4.21444197e-07,  4.21444197e-07,  4.80430453e-06,
        0.00000000e+00, -1.14785648e-07,  1.14785648e-07,  0.00000000e+00])]","[array([ 4.81525902e-06,  4.22405150e-07,  4.22405150e-07,  4.81525902e-06,
        0.00000000e+00, -1.15047375e-07,  1.15047375e-07,  0.00000000e+00]), array([ 4.81525902e-06,  4.22405150e-07,  4.22405150e-07,  4.81525902e-06,
        0.00000000e+00, -1.15047375e-07,  1.15047375e-07,  0.00000000e+00]), array([ 4.81525902e-06,  4.22405150e-07,  4.22405150e-07,  4.81525902e-06,
        0.00000000e+00, -1.15047375e-07,  1.15047375e-07,  0.00000000e+00]), array([ 4.81525902e-06,  4.22405150e-07,  4.22405150e-07,  4.81525902e-06,
        0.00000000e+00, -1.15047375e-07,  1.15047375e-07,  0.00000000e+00])]"
